Archive,LetterNo,Sender,Date
BritishLibrary,1,Virginia Woolf,3-Mar-1922
BritishLibrary,2,Virginia Woolf,4-Apr-1933
BritishLibrary,3,Virginia Woolf,31-Jan-1917
BritishLibrary,4,Virginia Woolf,24-Dec-1935
Harvard,1,Maya Angelou,4-Apr-1958
Harvard,2,Maya Angelou,28-May-1974
Harvard,3,Maya Angelou,21-Sep-1969
Harvard,4,Maya Angelou,31-Oct-1971
Folger,1,Wiliam Shakespeare,26-Apr-1602
Folger,2,Wiliam Shakespeare,2-May-1594
Folger,3,Wiliam Shakespeare,12-Mar-1594
Folger,4,Wiliam Shakespeare,3-Mar-1592